,Efficiency_0_25,Efficiency_0_5,Efficiency_0_75,Efficiency_1_0,Gap_0_25,Gap_0_5,Gap_0_75,Gap_1_0,Improvement_0_25,Improvement_0_5,Improvement_0_75,Improvement_1_0
mean,7.0228028080948794,5.088162744933361,5.366999695654494,7.930294985765868,44.71,38.74,97.62,31.96,-0.5838038108831664,-0.6160416160286133,-0.8273675072579821,-0.7347965982127665
std,7.522114737169684,3.8790310996639006,5.540236212258897,13.146272711659387,70.18671823548004,35.436010403731025,145.22423609714735,25.5769549594943,0.37925867186780543,0.7518829957246043,0.1748899661092947,0.6129217867624339
min,0.3236245954692557,0.78125,0.18190086402910413,1.0638297872340425,1.75,5.75,5.0,0.5,-0.9911003236245954,-0.970703125,-0.9936334697589814,-0.9840425531914894
25%,2.684563758389262,1.8691588785046727,1.1396011396011396,2.1164021164021163,11.0,11.75,10.25,11.25,-0.8456375838926175,-0.9086021505376344,-0.9585798816568049,-0.9405940594059404
50%,4.938271604938271,4.2105263157894735,2.877697841726619,3.9603960396039604,19.25,22.75,33.75,24.25,-0.7051282051282052,-0.7945205479452054,-0.9147286821705428,-0.8571428571428571
75%,8.333333333333332,7.8431372549019605,8.88888888888889,8.16326530612245,36.25,52.5,86.75,46.25,-0.3947368421052631,-0.6046511627906976,-0.75,-0.7857142857142857
max,36.36363636363637,14.814814814814813,16.666666666666664,66.66666666666666,308.0,127.0,548.75,93.0,0.4545454545454547,2.9000000000000004,-0.4166666666666667,2.1666666666666665
