Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy
272384,4559.859722222222,6,inf,3,14
274432,784.3675000000001,10,inf,3,14
276480,19772.939722222225,12,inf,3,14
278528,3455.830000000001,16,inf,3,14
280576,10183.8925,19,inf,3,14
282624,2468.8500000000004,23,inf,3,14
284672,4415.540277777778,26,inf,3,14
286720,4094.2175,30,inf,3,14
288768,3207.3788888888894,34,inf,3,14
290816,18024.08,36,inf,3,14
292864,1812.2883333333345,40,inf,3,14
294912,8864.773055555554,43,inf,3,14
296960,10322.405555555553,45,inf,3,14
299008,4195.352222222221,48,inf,3,14
301056,9350.3375,51,inf,3,14
303104,1423.2063888888883,54,inf,3,14
305152,2760.7341666666666,57,inf,3,14
307200,968.3958333333336,61,inf,3,14
309248,4892.496666666667,63,inf,3,14
311296,11337.00416666667,65,inf,3,14
313344,3412.241388888889,69,inf,3,14
315392,638.9358333333336,72,inf,3,14
317440,11441.064999999999,74,inf,3,14
319488,13871.167777777775,77,inf,3,14
321536,1217.3174999999999,81,inf,3,14
323584,805.0383333333333,84,inf,3,16
325632,4403.138333333334,87,inf,3,16
327680,16494.85138888888,89,inf,3,16
329728,9875.767500000002,92,inf,3,16
331776,5323.071071428572,4,inf,4,14
333824,1835.4883333333332,7,inf,4,14
335872,9316.643055555556,10,inf,4,14
337920,5926.588333333336,13,inf,4,14
339968,4317.925992063493,16,inf,4,14
342016,9944.256666666672,19,inf,4,14
344064,3741.5958333333338,23,inf,4,14
346112,1915.057777777778,26,inf,4,14
348160,8516.812222222225,29,inf,4,14
350208,8381.214722222221,33,inf,4,14
352256,18566.54694444445,36,inf,4,14
354304,2304.8750000000005,40,inf,4,14
356352,82.60499999999999,43,inf,4,14
358400,3541.175,46,inf,4,14
360448,6915.3166666666675,49,inf,4,14
362496,2756.573055555556,53,inf,4,14
364544,7668.9675,56,inf,4,14
366592,9603.979166666675,59,inf,4,14
368640,2410.7888888888892,3,inf,5,14
370688,10984.6675,6,inf,5,14
372736,5078.449801587302,9,inf,5,14
374784,10718.044444444458,12,inf,5,14
376832,9982.284761904762,15,inf,5,14
378880,10488.950833333334,18,inf,5,14
380928,16378.963492063489,21,inf,5,14
382976,1092.4161111111111,24,inf,5,14
385024,206.58888888888885,27,inf,5,14
387072,4649.577499999999,30,inf,5,14
389120,2675.3625,34,inf,5,14
391168,14354.84166666666,36,inf,5,14
393216,8936.130555555554,40,inf,5,14
395264,2103.0055555555555,43,inf,5,14
397312,9496.124444444446,45,inf,5,14
399360,7097.5052777777755,48,inf,5,14
401408,10388.400833333331,51,inf,5,14
403456,6405.933333333334,54,inf,5,14
405504,10163.43333333333,57,inf,5,14
407552,6995.705277777781,61,inf,5,14
409600,5527.616111111112,64,inf,5,14
411648,5262.969166666666,67,inf,5,14
413696,8572.239722222226,69,inf,5,14
415744,2206.2041666666664,2,inf,6,14
417792,4421.983333333333,5,inf,6,14
419840,7508.206666666669,7,inf,6,14
421888,1278.8152777777775,11,inf,6,14
423936,8747.990277777779,14,inf,6,14
425984,14716.740714285721,17,inf,6,14
428032,14733.756388888882,20,inf,6,14
430080,5909.8855555555565,24,inf,6,14
432128,7222.054166666665,27,inf,6,14
434176,6648.013333333333,31,inf,6,14
436224,11776.95694444445,34,inf,6,14
438272,2244.688333333334,38,inf,6,14
440320,4868.088888888889,40,inf,6,14
442368,10129.241666666669,43,inf,6,14
444416,4997.2300000000005,46,inf,6,14
446464,1360.5163888888892,50,inf,6,14
448512,10197.275833333337,53,inf,6,14
450560,3665.384166666668,56,inf,6,14
452608,10374.016111111114,59,inf,6,14
454656,2431.9551984126983,63,inf,6,14
456704,4095.4258333333337,66,inf,6,14
458752,8004.727500000004,69,inf,6,14
460800,7647.223055555555,73,inf,6,14
462848,7478.983333333336,76,inf,6,14
464896,41.3125,80,inf,6,14
466944,6627.325833333333,83,inf,6,16
468992,8098.052976190477,86,inf,6,16
471040,6425.18,2,inf,7,14
473088,866.6916666666664,5,inf,7,14
475136,41.3125,8,inf,7,14
477184,9776.478611111112,11,inf,7,14
479232,8051.161944444445,15,inf,7,14
481280,4604.7938888888875,18,inf,7,14
483328,8225.134722222225,21,inf,7,14
485376,19480.2425,23,inf,7,14
487424,8074.27027777778,27,inf,7,14
489472,4647.999722222223,31,inf,7,14
491520,3315.3372222222224,35,inf,7,14
493568,7519.979166666667,38,inf,7,14
495616,10347.970555555552,41,inf,7,14
497664,3846.7458333333334,45,inf,7,14
499712,2267.7055555555553,48,inf,7,14
501760,8500.487500000001,51,inf,7,14
503808,5016.509166666665,54,inf,7,14
505856,5345.158333333335,56,inf,7,14
507904,123.8775,60,inf,7,14
509952,16418.232777777765,62,inf,7,14
512000,3746.931944444446,65,inf,7,14
514048,9478.833968253964,68,inf,7,14
516096,10027.477777777782,71,inf,7,14
518144,5894.916666666666,74,inf,7,14
520192,3644.6347222222216,78,inf,7,14
522240,1505.210555555556,82,inf,7,14
524288,11501.975833333327,84,inf,7,16
526336,5935.668888888892,88,inf,7,16
528384,123.85249999999999,92,inf,7,16
530432,11910.376031746027,94,inf,7,16
532480,2165.295833333333,98,inf,7,16
534528,14524.616111111103,100,inf,7,16
536576,3767.898055555555,104,inf,7,16
538624,10271.084722222226,107,inf,7,16
540672,4380.018888888891,111,inf,7,16
542720,1918.0498412698414,4,inf,8,14
544768,6018.866111111111,7,inf,8,14
546816,10080.660555555558,10,inf,8,14
548864,61.9675,14,inf,8,14
550912,2844.888928571428,17,inf,8,14
552960,2062.533333333334,20,inf,8,14
555008,10121.38611111111,22,inf,8,14
557056,11366.09722222223,25,inf,8,14
559104,11481.381944444443,28,inf,8,14
561152,5054.410833333334,32,inf,8,14
563200,6446.011944444444,35,inf,8,14
565248,2103.738888888889,39,inf,8,14
567296,7202.839999999999,41,inf,8,14
569344,8831.427499999993,44,inf,8,14
571392,1527.0175,47,inf,8,14
573440,3948.2972222222224,50,inf,8,14
575488,1835.0633333333335,53,inf,8,14
577536,2926.0986111111115,56,inf,8,14
579584,10818.934722222224,59,inf,8,14
581632,3132.083333333333,62,inf,8,14
583680,1691.6499999999999,66,inf,8,14
585728,7540.877222222224,69,inf,8,14
587776,1444.4515873015869,73,inf,8,14
589824,951.0971428571428,76,inf,8,14
591872,1383.1277777777777,80,inf,8,14
593920,9924.313888888884,83,inf,8,16
595968,13582.765396825404,86,inf,8,16
598016,5609.799642857142,90,inf,8,16
600064,9335.876111111113,93,inf,8,16
602112,5650.629166666664,97,inf,8,16
604160,330.2483333333334,101,inf,8,16
606208,9352.970833333331,104,inf,8,16
608256,7196.478888888889,108,inf,8,16
610304,5201.410158730159,4,inf,9,14
612352,5342.458333333334,8,inf,9,14
614400,3293.2460317460327,12,inf,9,14
616448,4361.559920634922,15,inf,9,14
618496,15400.124999999995,18,inf,9,14
620544,762.5083333333336,22,inf,9,14
622592,7981.456944444445,25,inf,9,14
624640,7973.206388888889,27,inf,9,14
626688,2308.0833333333335,31,inf,9,14
628736,9564.799444444448,34,inf,9,14
630784,8407.158055555557,37,inf,9,14
632832,434.3552777777777,41,inf,9,14
634880,10363.890277777778,44,inf,9,14
636928,12351.310119047619,47,inf,9,14
638976,9475.670277777775,51,inf,9,14
641024,7710.681468253968,55,inf,9,14
643072,13313.598055555562,58,inf,9,14
645120,1483.9499999999998,62,inf,9,14
647168,3746.2374999999997,64,inf,9,14
649216,4053.656944444445,68,inf,9,14
651264,4832.076388888889,72,inf,9,14
653312,5151.216388888889,75,inf,9,14
655360,3762.4355555555558,78,inf,9,14
657408,9454.812499999998,80,inf,9,14
659456,10340.348333333332,84,inf,9,16
661504,8988.66611111111,87,inf,9,16
663552,6139.425833333333,91,inf,9,16
665600,5383.731944444445,95,inf,9,16
667648,2225.4049999999997,99,inf,9,16
669696,11278.388333333336,102,inf,9,16
671744,16632.030555555553,105,inf,9,16
673792,3924.2830555555565,109,inf,9,16
675840,10089.031388888892,112,inf,9,16
677888,4709.828015873016,4,inf,10,14
679936,11733.393055555558,6,inf,10,14
681984,5956.5125,10,inf,10,14
684032,1753.2,14,inf,10,14
686080,4091.771666666666,17,inf,10,14
688128,5708.8772222222215,20,inf,10,14
690176,268.0383333333334,23,inf,10,14
692224,5987.497222222224,25,inf,10,14
694272,4115.597222222222,27,inf,10,14
696320,4545.548333333334,31,inf,10,14
698368,14299.986944444448,34,inf,10,14
700416,2533.2508333333335,38,inf,10,14
702464,9134.410833333333,41,inf,10,14
704512,12890.422222222212,44,inf,10,14
706560,2040.489722222222,48,inf,10,14
708608,7096.673333333331,51,inf,10,14
710656,7097.980277777777,54,inf,10,14
712704,1176.3666666666668,57,inf,10,14
714752,5240.608333333333,60,inf,10,14
716800,4483.1063888888875,63,inf,10,14
718848,1134.8791666666666,66,inf,10,14
720896,16075.650515873009,68,inf,10,14
722944,23386.19277777778,70,inf,10,14
724992,7315.436111111111,74,inf,10,14
727040,9760.566666666668,2,inf,11,14
729088,9979.592500000002,5,inf,11,14
731136,6040.337341269841,9,inf,11,14
733184,7343.066706349204,12,inf,11,14
735232,12027.247261904764,15,inf,11,14
737280,7321.956944444445,18,inf,11,14
739328,11395.596666666666,21,inf,11,14
741376,6602.994444444445,25,inf,11,14
743424,4012.465277777778,29,inf,11,14
745472,14810.377222222223,32,inf,11,14
747520,1072.6041666666658,36,inf,11,14
749568,4463.956944444444,39,inf,11,14
751616,15103.674999999994,41,inf,11,14
753664,9517.19861111111,44,inf,11,14
755712,5138.749007936507,47,inf,11,14
