,Efficiency_0_25,Efficiency_0_5,Efficiency_0_75,Efficiency_1_0,Gap_0_25,Gap_0_5,Gap_0_75,Gap_1_0,Improvement_0_25,Improvement_0_5,Improvement_0_75,Improvement_1_0
mean,9.519129503742246,4.972508088943731,3.535810929385297,6.319801677092687,354.838921282799,409.50320699708453,896.7122448979592,411.560860058309,-0.8570919685052606,-0.8667707835969771,-0.9334734337621723,-0.9094399197465329
std,22.27204254399514,6.960739726758739,5.448313237342709,11.934710809771722,883.2516564022193,867.5065104995217,1477.3491536797035,997.3489193652525,0.29125781035415005,0.24605031636413413,0.15344468052058285,0.20693008750693231
min,0.01773049645390071,0.025575447570332477,0.014228799089356859,0.019083059014360002,0.25,1.5,1.75,0.25,-0.999645390070922,-0.9995682888540032,-0.9997865680136596,-0.9997890117309478
25%,0.5997001499250375,0.45610034207525657,0.09216589861751152,0.6230529595015576,10.5,13.25,18.5,15.75,-0.9880059970014992,-0.9874572405929304,-0.9986175115207374,-0.9934123847167328
50%,2.8169014084507045,1.9417475728155338,0.8333333333333334,2.4242424242424243,34.5,50.5,119.0,40.25,-0.945945945945946,-0.9658385093167702,-0.9871794871794872,-0.9707602339181288
75%,8.695652173913043,7.017543859649122,5.128205128205128,5.970149253731343,165.75,218.25,1084.0,159.5,-0.868421052631579,-0.8307692307692308,-0.9230769230769232,-0.9210526315789472
max,140.0,40.0,36.36363636363637,80.0,5639.0,3909.0,7027.0,5239.25,1.4999999999999996,1.6774193548387095,0.8749999999999997,1.1999999999999995
