Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
4096,114348.36230236416,3,21,0,4,19.047619047619047,2.571428571428571,4.25,0.092529296875,0.08740234375,0.086181640625,0.09326171875,0.0908203125,0.090576171875,0.097412109375,0.08935546875,0.08740234375,0.092529296875,0.092529296875
8192,54348.04502742318,5,414,0,4,0.966183574879227,-0.9492753623188406,102.5,0.0927734375,0.09423828125,0.0859375,0.08447265625,0.097412109375,0.094482421875,0.0888671875,0.087646484375,0.083740234375,0.09716796875,0.09326171875
12288,61433.11438750659,7,74,0,4,5.405405405405405,-0.7162162162162162,17.5,0.093505859375,0.092529296875,0.08740234375,0.089111328125,0.091796875,0.087890625,0.08984375,0.095947265625,0.087646484375,0.091064453125,0.09326171875
16384,199122.69475005526,10,19,0,4,21.052631578947366,0.10526315789473674,3.75,0.09912109375,0.08203125,0.078125,0.08642578125,0.085205078125,0.099609375,0.094482421875,0.102783203125,0.08984375,0.086669921875,0.095703125
20480,56398.85387489228,13,122,0,4,3.278688524590164,-0.8442622950819673,29.5,0.090576171875,0.097412109375,0.088623046875,0.07958984375,0.0849609375,0.093505859375,0.09521484375,0.093994140625,0.091064453125,0.09716796875,0.087890625
24576,24610.893646094286,15,188,0,4,0.0,-0.8989361702127658,46.0,0.074951171875,0.10205078125,0.080322265625,0.080322265625,0.085693359375,0.104736328125,0.086669921875,0.10791015625,0.09130859375,0.09716796875,0.0888671875
28672,223197.1246797507,16,37,0,4,10.81081081081081,-0.48648648648648646,8.25,0.08056640625,0.0966796875,0.075439453125,0.09765625,0.091796875,0.104248046875,0.081787109375,0.101806640625,0.0830078125,0.090087890625,0.096923828125
32768,378343.72038239305,17,59,0,4,6.779661016949152,-0.6779661016949152,13.75,0.089111328125,0.10302734375,0.0771484375,0.08984375,0.075927734375,0.10595703125,0.088623046875,0.09716796875,0.089111328125,0.091552734375,0.092529296875
36864,39153.43977665341,20,119,0,4,3.361344537815126,-0.8403361344537815,28.75,0.07861328125,0.1025390625,0.07861328125,0.08837890625,0.088134765625,0.09521484375,0.089599609375,0.097900390625,0.091064453125,0.0927734375,0.09716796875
40960,192951.47402820332,22,25,0,4,16.0,-0.23999999999999994,5.25,0.07763671875,0.093994140625,0.077880859375,0.091064453125,0.0888671875,0.100341796875,0.0888671875,0.099365234375,0.0888671875,0.0908203125,0.102294921875
