,Efficiency_0_25,Efficiency_0_5,Efficiency_0_75,Efficiency_1_0,Gap_0_25,Gap_0_5,Gap_0_75,Gap_1_0,Improvement_0_25,Improvement_0_5,Improvement_0_75,Improvement_1_0
mean,8.957942525877518,5.97108445487884,3.166379807140655,6.835395685666599,114.55,53.5,101.25,35.4,-0.6141327796075855,-0.7760843329420435,-0.912924555303632,-0.8974690647150009
std,15.435499277637883,5.793025399347387,3.4374158206496563,6.741992671225347,136.01417665081829,58.02908753375328,109.3204864149442,36.01154328822912,0.6075628313020506,0.21723845247552703,0.0945289350678656,0.10112989006838025
min,0.3236245954692557,0.78125,0.38314176245210724,1.0638297872340425,1.75,5.75,10.25,4.75,-0.9911003236245954,-0.970703125,-0.9894636015325672,-0.9840425531914894
25%,0.4796163069544364,0.936768149882904,0.5813953488372093,2.1164021164021163,19.25,11.75,31.25,9.5,-0.97242206235012,-0.9648711943793912,-0.9840116279069768,-0.9682539682539684
50%,2.684563758389262,5.47945205479452,2.877697841726619,4.081632653061225,36.25,17.25,33.75,23.5,-0.8456375838926175,-0.7945205479452054,-0.920863309352518,-0.9387755102040816
75%,4.938271604938271,7.8431372549019605,3.10077519379845,9.523809523809524,207.5,105.75,171.0,46.25,-0.7160493827160493,-0.7058823529411765,-0.9147286821705428,-0.8571428571428571
max,36.36363636363637,14.814814814814813,8.88888888888889,17.391304347826086,308.0,127.0,260.0,93.0,0.4545454545454547,-0.4444444444444445,-0.7555555555555555,-0.7391304347826086
