Step,Performance_0_25,Best Route Energy_0_25,Target Route Energy_0_25,Efficiency_0_25,Improvement_0_25,Gap_0_25,Performance_0_5,Best Route Energy_0_5,Target Route Energy_0_5,Efficiency_0_5,Improvement_0_5,Gap_0_5,Performance_0_75,Best Route Energy_0_75,Target Route Energy_0_75,Efficiency_0_75,Improvement_0_75,Gap_0_75,Performance_1_0,Best Route Energy_1_0,Target Route Energy_1_0,Efficiency_1_0,Improvement_1_0,Gap_1_0
55296,703879.9113547025,36,4,36,-0.5277777777777778,8.0,61346.703573287865,58,4,58,-0.4137931034482758,13.5,149042.59809744966,907,4,907,-0.9911797133406836,225.75,105280.14358915966,62,4,62,-0.5806451612903226,14.5
57344,187749.588241672,535,4,535,-0.9682242990654206,132.75,60024.68446823047,58,4,58,-0.4137931034482758,13.5,339411.0763008048,105,4,105,-0.9238095238095236,25.25,295732.55348766246,615,4,615,-0.9577235772357724,152.75
59392,378002.91431988426,485,4,485,-0.9649484536082474,120.25,250619.534282767,125,4,125,-0.7279999999999999,30.25,529290.194193222,105,4,105,-0.9238095238095236,25.25,485706.8840052992,59,4,59,-0.5593220338983051,13.75
61440,567785.6480365762,54,4,54,-0.6851851851851851,12.5,58250.33454793899,125,4,125,-0.7279999999999999,30.25,98487.19752921934,2867,4,2867,-0.9972096267875828,715.75,675196.8415729873,59,4,59,-0.5593220338983051,13.75
63488,104740.83251177406,48,4,48,-0.6458333333333334,11.0,248837.99756573,161,4,161,-0.7888198757763976,39.25,288949.4391472676,90,4,90,-0.9111111111111112,21.5,864216.9854569916,44,4,44,-0.409090909090909,10.0
65536,295226.1377050909,16,4,16,0.0625,3.0,81270.89701398664,125,4,125,-0.7279999999999999,30.25,156680.40879100183,205,4,205,-0.9609756097560976,50.25,117490.63527670226,44,4,44,-0.409090909090909,10.0
67584,125410.70203868332,77,4,77,-0.7922077922077922,18.25,98871.38743121542,493,4,493,-0.9310344827586208,122.25,347020.2968424342,41,4,41,-0.8048780487804877,9.25,307843.4269647754,38,4,38,-0.3157894736842106,8.5
69632,18645.99749487588,77,4,77,-0.7922077922077922,18.25,289354.8234018885,493,4,493,-0.9310344827586208,122.25,78283.34194944211,41,4,41,-0.8048780487804877,9.25,112184.46250857729,479,4,479,-0.9457202505219208,118.75
71680,209249.80798202733,75,4,75,-0.7866666666666666,17.75,479350.14269134536,493,4,493,-0.9310344827586208,122.25,268807.525011842,71,4,71,-0.8873239436619719,16.75,302642.6310666524,135,4,135,-0.8074074074074074,32.75
73728,399454.4544044664,75,4,75,-0.7866666666666666,17.75,175564.7637864643,64,4,64,-0.4687499999999999,15.0,149423.35336437557,204,4,204,-0.9607843137254902,50.0,187737.9628786155,135,4,135,-0.8074074074074074,32.75
75776,99614.89144753724,83,4,83,-0.8072289156626506,19.75,365848.2831147446,64,4,64,-0.4687499999999999,15.0,14734.965582578996,236,4,236,-0.9661016949152542,58.0,377978.9054884991,135,4,135,-0.8074074074074074,32.75
77824,36358.51825836985,620,4,620,-0.9741935483870968,154.0,122707.22526707596,662,4,662,-0.948640483383686,164.5,205437.02522098797,47,4,47,-0.8297872340425532,10.75,567751.765088473,13644,4,13644,-0.9980944004690706,3410.0
79872,226992.22986509476,321,4,321,-0.9501557632398756,79.25,313126.3401396478,235,4,235,-0.8553191489361701,57.75,33090.67945798222,22,4,22,-0.6363636363636364,4.5,757043.4127769263,13644,4,13644,-0.9980944004690706,3410.0
81920,417157.5994542103,76,4,76,-0.7894736842105263,18.0,503070.94396428496,45,4,45,-0.2444444444444443,10.25,223724.59025766127,950,4,950,-0.9915789473684212,236.5,945855.846846616,13644,4,13644,-0.9980944004690706,3410.0
83968,103802.43994360264,84,4,84,-0.8095238095238095,20.0,692534.0639084579,45,4,45,-0.2444444444444443,10.25,75873.09467208559,69,4,69,-0.8840579710144928,16.25,1134192.551697448,13644,4,13644,-0.9980944004690706,3410.0
86016,66274.30752070583,112,4,112,-0.8571428571428572,27.0,102871.93461177008,3247,4,3247,-0.9895287958115184,810.75,53966.06900478252,69,4,69,-0.8840579710144928,16.25,189244.34653064443,27,4,27,-0.0370370370370371,5.75
88064,31139.14506946026,112,4,112,-0.8571428571428572,27.0,293336.8517575077,437,4,437,-0.9221967963386728,108.25,244555.50927232785,443,4,443,-0.981941309255079,109.75,379492.41303940926,27,4,27,-0.0370370370370371,5.75
90112,221786.85781853055,780,4,780,-0.9794871794871796,194.0,483326.6803334157,62,4,62,-0.4516129032258064,14.5,2890.6005465725348,443,4,443,-0.981941309255079,109.75,132207.2625065965,980,4,980,-0.973469387755102,244.0
92160,411968.08453864406,79,4,79,-0.7974683544303798,18.75,672837.0652636227,29,4,29,0.1724137931034483,6.25,193605.2596219539,443,4,443,-0.981941309255079,109.75,322595.2547222084,980,4,980,-0.973469387755102,244.0
94208,601662.8743773707,79,4,79,-0.7974683544303798,18.75,14544.94204053746,29,4,29,0.1724137931034483,6.25,383754.8484399904,443,4,443,-0.981941309255079,109.75,167553.171601002,980,4,980,-0.973469387755102,244.0
96256,96630.6074700274,32,4,32,-0.5,7.0,205212.1915644928,4703,4,4703,-0.9938337231554328,1174.75,573524.3297764291,179,4,179,-0.9553072625698324,43.75,357859.41570042755,159,4,159,-0.8364779874213836,38.75
98304,97104.50874797604,1997,4,1997,-0.9919879819729596,498.25,395414.9168846844,1968,4,1968,-0.9852642276422764,491.0,762812.8318571904,179,4,179,-0.9553072625698324,43.75,3450.2482350261907,159,4,159,-0.8364779874213836,38.75
100352,287585.1242242313,1997,4,1997,-0.9919879819729596,498.25,585134.0081263654,1968,4,1968,-0.9852642276422764,491.0,951632.8503927998,20,4,20,-0.6,4.0,194163.1912806666,121,4,121,-0.7851239669421488,29.25
