,Efficiency_0_25,Efficiency_0_5,Efficiency_0_75,Efficiency_1_0,Gap_0_25,Gap_0_5,Gap_0_75,Gap_1_0,Improvement_0_25,Improvement_0_5,Improvement_0_75,Improvement_1_0
mean,25.993875914046733,3.160338863693715,1.592872212622252,3.6183228512973646,279.01093294460645,1360.780612244898,1287.061224489796,259.7481778425656,-0.7791108850465843,-0.9565453406242114,-0.9761069168106662,-0.9699912643644196
std,43.399017358049235,5.7055827047812055,3.363102691884424,5.768866065727136,444.5667655300185,1383.6385883546295,1134.671240623675,562.6419237085682,0.3422865718696725,0.07845176219074161,0.05044654037826636,0.0477783822767537
min,0.05222321695016413,0.03139717425431711,0.02279202279202279,0.03375812304835851,0.25,5.0,6.25,3.4285714285714284,-0.9996269770217846,-0.9995682888540032,-0.9996581196581196,-0.9997890117309478
25%,0.306044376434583,0.03216985684413705,0.03913894324853229,0.7920792079207921,1.5714285714285714,50.5,49.25,20.375,-0.9961744452945676,-0.9995576644683932,-0.999412915851272,-0.9949799196787148
50%,4.301075268817205,0.08814455707360071,0.09163802978235967,1.509433962264151,22.25,1133.5,1090.25,65.25,-0.946236559139785,-0.998788012340238,-0.9986254295532646,-0.9879518072289156
75%,38.88888888888889,1.9417475728155338,1.9900497512437811,4.678362573099415,325.75,3107.5,2554.0,125.25,-0.7222222222222222,-0.9733009708737864,-0.9701492537313432,-0.9707602339181288
max,140.0,16.666666666666664,13.793103448275861,22.58064516129032,1913.857142857143,3184.0,4386.5,2961.25,0.0,-0.7708333333333334,-0.7931034482758621,-0.782608695652174
