,Efficiency_0_25,Efficiency_0_5,Efficiency_0_75,Efficiency_1_0,Gap_0_25,Gap_0_5,Gap_0_75,Gap_1_0,Improvement_0_25,Improvement_0_5,Improvement_0_75,Improvement_1_0
0,4.444444444444445,10.0,0.6535947712418301,1.7391304347826086,21.5,9.0,152.0,56.5,-0.5888888888888889,2.9000000000000004,-0.915032679738562,-0.8130434782608696
1,7.8431372549019605,1.257861635220126,1.9138755980861244,1.3651877133105803,11.75,78.5,51.25,72.25,-0.2745098039215686,-0.8742138364779874,-0.9330143540669856,-0.89419795221843
2,5.970149253731343,4.444444444444445,7.142857142857142,2.7210884353741496,15.75,21.5,13.0,35.75,-0.5223880597014926,-0.5555555555555556,-0.75,-0.8163265306122449
3,17.391304347826086,3.7383177570093453,4.0,2.7586206896551726,4.75,25.75,24.0,35.25,0.3913043478260868,-0.6261682242990655,-0.86,-0.8137931034482758
4,4.651162790697675,5.128205128205128,2.072538860103627,2.684563758389262,20.5,18.5,47.25,36.25,-0.7325581395348837,-0.5641025641025641,-0.927461139896373,-0.8187919463087249
5,5.128205128205128,10.0,2.4691358024691357,1.8604651162790697,18.5,9.0,39.5,52.75,-0.7051282051282052,-0.475,-0.9135802469135802,-0.8790697674418605
6,2.051282051282051,1.5625,4.301075268817205,5.128205128205128,47.75,63.0,22.25,18.5,-0.882051282051282,-0.91796875,-0.8494623655913979,-0.6666666666666667
7,12.121212121212121,4.2105263157894735,1.1396011396011396,4.0,7.25,22.75,86.75,24.0,-0.303030303030303,-0.8210526315789474,-0.96011396011396,-0.74
8,10.81081081081081,9.30232558139535,5.88235294117647,8.16326530612245,8.25,9.75,16.0,11.25,-0.3783783783783783,-0.6046511627906976,-0.7941176470588235,-0.6122448979591836
9,2.797202797202797,2.185792349726776,1.183431952662722,66.66666666666666,34.75,44.75,83.5,0.5,-0.8391608391608392,-0.907103825136612,-0.9585798816568049,2.1666666666666665
10,5.970149253731343,0.8528784648187633,0.18190086402910413,1.2048192771084338,15.75,116.25,548.75,82.0,-0.6567164179104478,-0.9637526652452026,-0.9936334697589814,-0.9819277108433736
11,13.793103448275861,2.312138728323699,16.666666666666664,1.5267175572519083,6.25,42.25,5.0,64.5,-0.2068965517241379,-0.9017341040462428,-0.4166666666666667,-0.9770992366412212
12,1.08991825613079,10.526315789473683,0.26595744680851063,5.633802816901409,90.75,8.5,375.0,16.75,-0.9373297002724796,-0.5526315789473685,-0.990691489361702,-0.9154929577464788
13,6.666666666666667,2.185792349726776,14.814814814814813,3.3333333333333335,14.0,44.75,5.75,29.0,-0.6166666666666666,-0.907103825136612,-0.4814814814814815,-0.95
14,8.333333333333332,8.695652173913043,12.5,3.9603960396039604,11.0,10.5,7.0,24.25,-0.5208333333333334,-0.6304347826086957,-0.5625,-0.9405940594059404
15,4.819277108433735,2.1505376344086025,13.793103448275861,5.797101449275362,19.75,45.5,6.25,16.25,-0.7228915662650602,-0.9086021505376344,-0.6206896551724138,-0.9130434782608696
16,1.2461059190031152,7.4074074074074066,2.2988505747126435,17.391304347826086,79.25,12.5,42.5,4.75,-0.928348909657321,-0.6851851851851851,-0.9367816091954022,-0.7391304347826086
17,10.526315789473683,1.82648401826484,10.81081081081081,14.285714285714285,8.5,53.75,8.25,6.0,-0.3947368421052631,-0.9223744292237444,-0.7027027027027027,-0.7857142857142857
18,1.1661807580174928,7.6923076923076925,0.25252525252525254,3.6036036036036037,84.75,12.0,395.0,26.75,-0.932944606413994,-0.673076923076923,-0.9930555555555556,-0.945945945945946
19,3.9603960396039604,1.8691588785046727,16.0,10.256410256410255,24.25,52.5,5.25,8.75,-0.7722772277227723,-0.9299065420560748,-0.56,-0.8461538461538461
20,2.684563758389262,7.8431372549019605,8.88888888888889,9.523809523809524,36.25,11.75,10.25,9.5,-0.8456375838926175,-0.7058823529411765,-0.7555555555555555,-0.8571428571428571
21,0.4796163069544364,14.814814814814813,0.38314176245210724,1.0638297872340425,207.5,5.75,260.0,93.0,-0.97242206235012,-0.4444444444444445,-0.9894636015325672,-0.9840425531914894
22,4.938271604938271,5.47945205479452,3.10077519379845,2.1164021164021163,19.25,17.25,31.25,46.25,-0.7160493827160493,-0.7945205479452054,-0.9147286821705428,-0.9682539682539684
23,36.36363636363637,0.936768149882904,0.5813953488372093,4.081632653061225,1.75,105.75,171.0,23.5,0.4545454545454547,-0.9648711943793912,-0.9840116279069768,-0.9387755102040816
24,0.3236245954692557,0.78125,2.877697841726619,17.391304347826086,308.0,127.0,33.75,4.75,-0.9911003236245954,-0.970703125,-0.920863309352518,-0.7391304347826086
