Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
2048,190644.34371511042,1,25,0,4,25,78.28,5.25,0.095703125,0.0908203125,0.083984375,0.0966796875,0.09423828125,0.08447265625,0.09716796875,0.0947265625,0.08837890625,0.08935546875,0.08447265625
4096,137506.05390250418,2,119,0,4,119,-0.7899159663865546,28.75,0.08544921875,0.10498046875,0.08544921875,0.1025390625,0.0810546875,0.095703125,0.09521484375,0.087890625,0.08642578125,0.0869140625,0.08837890625
6144,327899.56281725387,2,119,0,4,119,-0.7899159663865546,28.75,0.0888671875,0.0966796875,0.0927734375,0.09375,0.09326171875,0.09423828125,0.09521484375,0.09130859375,0.08544921875,0.08544921875,0.0830078125
8192,182067.88860179784,3,4914,0,4,4914,-0.9949124949124949,1227.5,0.08935546875,0.09033203125,0.09912109375,0.09228515625,0.08642578125,0.10302734375,0.09130859375,0.0849609375,0.09619140625,0.0869140625,0.080078125
10240,372336.60655295104,3,17,0,4,17,0.47058823529411753,3.25,0.1015625,0.08642578125,0.0927734375,0.0966796875,0.091796875,0.09130859375,0.09521484375,0.08154296875,0.0849609375,0.08740234375,0.09033203125
12288,562118.2601626066,3,17,0,4,17,0.47058823529411753,3.25,0.095703125,0.08837890625,0.08740234375,0.0908203125,0.09619140625,0.1015625,0.0849609375,0.0947265625,0.0869140625,0.0966796875,0.07666015625
14336,108746.46773594657,4,260,0,4,260,-0.9346153846153845,64.0,0.09375,0.09912109375,0.080078125,0.09130859375,0.1142578125,0.0869140625,0.09033203125,0.0908203125,0.0869140625,0.09326171875,0.0732421875
16384,299214.1657002617,4,260,0,4,260,-0.9346153846153845,64.0,0.08837890625,0.09423828125,0.08837890625,0.0927734375,0.1005859375,0.10107421875,0.08740234375,0.08447265625,0.08984375,0.08544921875,0.08740234375
18432,170824.86141527578,5,167,0,4,167,-0.8982035928143712,40.75,0.09619140625,0.09814453125,0.095703125,0.09814453125,0.08935546875,0.0986328125,0.08837890625,0.0986328125,0.083984375,0.08154296875,0.0712890625
20480,361120.1638748354,5,167,0,4,167,-0.8982035928143712,40.75,0.0908203125,0.08837890625,0.09521484375,0.09521484375,0.08740234375,0.08349609375,0.09716796875,0.0830078125,0.09521484375,0.10205078125,0.08203125
22528,80983.06365292644,6,167,0,4,167,-0.8982035928143712,40.75,0.1123046875,0.0966796875,0.0908203125,0.09228515625,0.09130859375,0.08837890625,0.078125,0.083984375,0.103515625,0.0830078125,0.07958984375
24576,271507.78652300534,6,71,0,4,71,-0.7605633802816901,16.75,0.09716796875,0.08251953125,0.09716796875,0.09423828125,0.09326171875,0.09033203125,0.095703125,0.08740234375,0.0849609375,0.09228515625,0.0849609375
