Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
2048,190632.8815569725,1,37,0,4,10.81081081081081,49.216216216216225,8.25,0.091796875,0.08154296875,0.0810546875,0.08984375,0.08935546875,0.09423828125,0.10009765625,0.08837890625,0.09814453125,0.09619140625,0.08935546875
4096,380881.33221847145,1,7,0,4,57.14285714285714,4.285714285714286,0.75,0.0869140625,0.0859375,0.0849609375,0.0986328125,0.0947265625,0.087890625,0.1015625,0.091796875,0.08740234375,0.0966796875,0.08349609375
6144,570649.88140098,1,7,0,4,57.14285714285714,4.285714285714286,0.75,0.09521484375,0.0927734375,0.07666015625,0.0859375,0.08251953125,0.10009765625,0.087890625,0.0947265625,0.09326171875,0.09619140625,0.0947265625
8192,77175.20499373406,2,89,0,4,4.49438202247191,-0.9213483146067416,21.25,0.09375,0.0888671875,0.09716796875,0.08251953125,0.076171875,0.09619140625,0.08837890625,0.0927734375,0.10498046875,0.083984375,0.09521484375
10240,267718.92716631497,2,89,0,4,4.49438202247191,-0.9213483146067416,21.25,0.0859375,0.087890625,0.0908203125,0.0849609375,0.0966796875,0.1015625,0.083984375,0.08447265625,0.09423828125,0.08837890625,0.10107421875
12288,154440.91232065592,3,89,0,4,0.0,-0.9213483146067416,21.25,0.08349609375,0.0966796875,0.1015625,0.08251953125,0.0966796875,0.08642578125,0.09619140625,0.09033203125,0.0830078125,0.08935546875,0.09375
14336,344805.56885506853,3,75,0,4,5.333333333333334,-0.9066666666666666,17.75,0.08544921875,0.09716796875,0.07958984375,0.095703125,0.10498046875,0.09130859375,0.09326171875,0.07568359375,0.095703125,0.08740234375,0.09375
16384,182541.48915037187,4,106,0,4,3.7735849056603774,-0.9339622641509434,25.5,0.0830078125,0.09912109375,0.1064453125,0.10400390625,0.0771484375,0.0869140625,0.1044921875,0.08251953125,0.07373046875,0.0947265625,0.087890625
18432,150721.44002810592,5,462,0,4,0.8658008658008658,-0.9848484848484849,114.5,0.09228515625,0.0908203125,0.09228515625,0.0869140625,0.08740234375,0.0859375,0.0859375,0.09912109375,0.0859375,0.095703125,0.09765625
20480,47542.13343169061,6,46,0,4,8.695652173913043,-0.8478260869565217,10.5,0.0859375,0.09912109375,0.09130859375,0.09375,0.08447265625,0.0888671875,0.09130859375,0.083984375,0.09814453125,0.08984375,0.09326171875
