Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
2048,190654.98614655941,1,28,0,4,14.285714285714285,0.1785714285714285,6.0,0.083984375,0.0849609375,0.09765625,0.10498046875,0.091796875,0.09619140625,0.07958984375,0.08447265625,0.08984375,0.08984375,0.0966796875
4096,115362.64500831904,2,19,0,4,21.052631578947366,0.21052631578947362,3.75,0.09375,0.09423828125,0.1025390625,0.09619140625,0.08203125,0.08544921875,0.0927734375,0.09423828125,0.0888671875,0.083984375,0.0859375
6144,78095.01263948987,3,19,0,4,0.0,0.21052631578947362,3.75,0.09326171875,0.09228515625,0.0888671875,0.0791015625,0.0947265625,0.1015625,0.09521484375,0.09130859375,0.09521484375,0.08349609375,0.0849609375
8192,15011.798451377823,4,326,0,4,0.0,-0.941717791411043,80.5,0.08837890625,0.083984375,0.09326171875,0.0986328125,0.08251953125,0.0888671875,0.091796875,0.11376953125,0.0947265625,0.0810546875,0.0830078125
10240,205702.06379743613,4,711,0,4,0.5625879043600562,-0.9732770745428972,176.75,0.08349609375,0.10009765625,0.0966796875,0.08544921875,0.10302734375,0.09228515625,0.091796875,0.07666015625,0.09375,0.095703125,0.0810546875
12288,395919.04954710644,4,362,0,4,1.1049723756906076,-0.9475138121546961,89.5,0.09326171875,0.1044921875,0.091796875,0.08154296875,0.0947265625,0.0869140625,0.0908203125,0.08447265625,0.10009765625,0.08984375,0.08203125
14336,585662.151023218,4,62,0,4,6.451612903225806,-0.6935483870967741,14.5,0.08984375,0.109375,0.09375,0.076171875,0.0888671875,0.08984375,0.08154296875,0.10107421875,0.0869140625,0.09228515625,0.09033203125
16384,187742.8069805387,5,61,0,4,6.557377049180328,-0.6885245901639344,14.25,0.0927734375,0.08935546875,0.0888671875,0.07080078125,0.1015625,0.0869140625,0.09228515625,0.1025390625,0.08251953125,0.09716796875,0.09521484375
18432,377991.15991836676,5,61,0,4,6.557377049180328,-0.6885245901639344,14.25,0.09814453125,0.0859375,0.095703125,0.07275390625,0.0888671875,0.08837890625,0.10009765625,0.0830078125,0.087890625,0.08935546875,0.10986328125
20480,567770.9011100789,5,61,0,4,6.557377049180328,-0.6885245901639344,14.25,0.076171875,0.095703125,0.099609375,0.07568359375,0.087890625,0.09619140625,0.0888671875,0.09228515625,0.091796875,0.09326171875,0.1025390625
22528,58718.85880209521,6,61,0,4,0.0,-0.6885245901639344,14.25,0.091796875,0.09375,0.0908203125,0.0810546875,0.08251953125,0.111328125,0.09130859375,0.08349609375,0.10107421875,0.08544921875,0.08740234375
24576,249293.39365901685,6,22,0,4,18.181818181818183,-0.13636363636363621,4.5,0.09423828125,0.07666015625,0.0927734375,0.08642578125,0.0966796875,0.10791015625,0.09326171875,0.07861328125,0.1005859375,0.0849609375,0.087890625
26624,439386.5651461499,6,22,0,4,18.181818181818183,-0.13636363636363621,4.5,0.08544921875,0.08984375,0.10009765625,0.0703125,0.09033203125,0.1015625,0.09619140625,0.09375,0.0869140625,0.08740234375,0.09814453125
28672,628998.8092818826,6,22,0,4,18.181818181818183,-0.13636363636363621,4.5,0.0869140625,0.08251953125,0.095703125,0.07763671875,0.09765625,0.08984375,0.10546875,0.07958984375,0.09130859375,0.095703125,0.09765625
