Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
4096,44748.40941566042,4,172,0,4,2.3255813953488373,-0.877906976744186,42.0,0.096923828125,0.085693359375,0.08251953125,0.09033203125,0.095703125,0.095703125,0.0966796875,0.08837890625,0.08984375,0.089111328125,0.089111328125
8192,13798.04418127989,7,48,0,4,0.0,-0.5625000000000001,11.0,0.093017578125,0.091552734375,0.091552734375,0.0966796875,0.0791015625,0.092529296875,0.09912109375,0.087158203125,0.08837890625,0.085693359375,0.09521484375
12288,79407.16148228545,9,43,0,4,9.30232558139535,-0.627906976744186,9.75,0.09375,0.08984375,0.0947265625,0.097412109375,0.086669921875,0.094970703125,0.088134765625,0.08984375,0.083984375,0.086181640625,0.094482421875
16384,237589.77185349507,11,81,0,4,4.938271604938271,-0.8024691358024691,19.25,0.09130859375,0.095947265625,0.097900390625,0.08837890625,0.087890625,0.097412109375,0.088623046875,0.08984375,0.094482421875,0.0791015625,0.089111328125
20480,95061.41335999964,13,46,0,4,8.695652173913043,-0.6521739130434783,10.5,0.0830078125,0.10009765625,0.08203125,0.094482421875,0.088134765625,0.08837890625,0.091552734375,0.083251953125,0.104736328125,0.087158203125,0.09716796875
24576,79041.92480426366,16,62,0,4,6.451612903225806,-0.7419354838709676,14.5,0.0869140625,0.104736328125,0.087890625,0.09375,0.090087890625,0.087890625,0.09619140625,0.082275390625,0.08740234375,0.088623046875,0.09423828125
28672,118054.82938471269,19,482,0,4,0.8298755186721992,-0.966804979253112,119.5,0.08544921875,0.100830078125,0.081787109375,0.097412109375,0.087646484375,0.097412109375,0.099853515625,0.086181640625,0.085205078125,0.08837890625,0.08984375
32768,153520.89810868134,22,150,0,4,2.666666666666667,-0.8933333333333333,36.5,0.085693359375,0.107421875,0.0859375,0.095703125,0.08837890625,0.089111328125,0.09326171875,0.091064453125,0.08154296875,0.0986328125,0.083251953125
36864,54439.19179561269,25,109,0,4,3.669724770642202,-0.8532110091743119,26.25,0.081298828125,0.104248046875,0.08056640625,0.096435546875,0.096923828125,0.0986328125,0.0908203125,0.093505859375,0.08837890625,0.086669921875,0.08251953125
40960,559.5224322477795,28,130,0,4,0.0,-0.8769230769230769,31.5,0.086669921875,0.107421875,0.090087890625,0.089111328125,0.0986328125,0.086669921875,0.091064453125,0.085693359375,0.090576171875,0.085693359375,0.08837890625
