Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
4096,48465.74925984969,4,189,0,4,0.0,-0.6296296296296297,46.25,0.089599609375,0.08544921875,0.087646484375,0.095458984375,0.08642578125,0.09326171875,0.09033203125,0.097412109375,0.09130859375,0.09716796875,0.0859375
8192,28629.01166794908,6,65,0,4,6.153846153846154,-0.6153846153846154,15.25,0.09326171875,0.090576171875,0.099609375,0.08740234375,0.084716796875,0.0927734375,0.0966796875,0.09228515625,0.090087890625,0.08251953125,0.090087890625
12288,24235.844910043266,9,23,0,4,0.0,0.08695652173913038,4.75,0.098388671875,0.08740234375,0.092529296875,0.08642578125,0.0927734375,0.094970703125,0.089111328125,0.09423828125,0.09228515625,0.083984375,0.087890625
16384,79782.62813842332,10,240,0,4,1.6666666666666667,-0.9041666666666667,59.0,0.098388671875,0.092041015625,0.0888671875,0.091552734375,0.087646484375,0.09326171875,0.095703125,0.086669921875,0.0869140625,0.099365234375,0.07958984375
20480,255251.0808245091,11,36,0,4,11.11111111111111,-0.3611111111111111,8.0,0.094970703125,0.100830078125,0.085205078125,0.086669921875,0.101318359375,0.101318359375,0.083740234375,0.08642578125,0.087646484375,0.0830078125,0.0888671875
24576,25358.173195171945,15,111,0,4,0.0,-0.7927927927927928,26.75,0.093505859375,0.086669921875,0.087158203125,0.090576171875,0.100830078125,0.091064453125,0.082763671875,0.098876953125,0.09521484375,0.08642578125,0.0869140625
28672,96450.88174207415,16,72,0,4,5.555555555555555,-0.6805555555555556,17.0,0.090576171875,0.089599609375,0.081787109375,0.0849609375,0.10009765625,0.0927734375,0.08984375,0.089111328125,0.095458984375,0.09423828125,0.091552734375
32768,103811.68046024427,18,151,0,4,2.6490066225165565,-0.847682119205298,36.75,0.089111328125,0.091796875,0.08642578125,0.088623046875,0.10400390625,0.100341796875,0.09375,0.0830078125,0.08935546875,0.091064453125,0.08251953125
36864,121979.43960519781,20,10,0,4,40.0,1.3,1.5,0.09228515625,0.09814453125,0.08837890625,0.086669921875,0.090576171875,0.08935546875,0.0908203125,0.09375,0.099853515625,0.0830078125,0.087158203125
40960,247361.73173162836,22,77,0,4,5.194805194805195,-0.8701298701298701,18.25,0.087890625,0.0888671875,0.078857421875,0.093017578125,0.092041015625,0.0888671875,0.09765625,0.093994140625,0.09765625,0.09228515625,0.0888671875
45056,41207.268428244264,25,123,0,4,3.2520325203252036,-0.9186991869918699,29.75,0.091796875,0.0966796875,0.075439453125,0.07470703125,0.097412109375,0.0908203125,0.104248046875,0.09423828125,0.102783203125,0.08203125,0.08984375
49152,196131.31181277492,26,83,0,4,4.819277108433735,-0.8795180722891566,19.75,0.091552734375,0.09814453125,0.075927734375,0.07958984375,0.10693359375,0.083740234375,0.09716796875,0.091064453125,0.095458984375,0.088623046875,0.091796875
53248,101495.43515002319,28,126,0,4,3.1746031746031744,-0.9206349206349206,30.5,0.085693359375,0.099853515625,0.090087890625,0.08544921875,0.10302734375,0.087646484375,0.09228515625,0.082275390625,0.1005859375,0.083984375,0.089111328125
57344,82950.48644304104,30,24,0,4,16.666666666666664,-0.5833333333333334,5.0,0.088623046875,0.1103515625,0.07861328125,0.077392578125,0.10791015625,0.08740234375,0.09716796875,0.097900390625,0.097412109375,0.0751953125,0.08203125
61440,54888.117570029615,33,84,0,4,0.0,-0.880952380952381,20.0,0.087158203125,0.107177734375,0.082275390625,0.082763671875,0.10107421875,0.089599609375,0.094482421875,0.093505859375,0.09521484375,0.073974609375,0.0927734375
65536,142440.92237775278,34,60,0,4,6.666666666666667,-0.8333333333333334,14.0,0.081787109375,0.10595703125,0.078369140625,0.071044921875,0.10205078125,0.09765625,0.090576171875,0.095458984375,0.10205078125,0.080810546875,0.09423828125
