Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
4096,131381.45109198723,2,70,0,4,5.714285714285714,0.9428571428571431,16.5,0.091064453125,0.087646484375,0.087646484375,0.09228515625,0.099365234375,0.09130859375,0.088134765625,0.0908203125,0.090576171875,0.091552734375,0.089599609375
8192,182456.4909119844,4,46,0,4,8.695652173913043,-0.23913043478260876,10.5,0.095458984375,0.087646484375,0.08837890625,0.082275390625,0.0908203125,0.094482421875,0.091796875,0.087158203125,0.089111328125,0.0986328125,0.09423828125
12288,350649.0497186477,5,14,0,4,28.57142857142857,1.4999999999999996,2.5,0.093017578125,0.08935546875,0.091552734375,0.08740234375,0.0859375,0.091796875,0.090576171875,0.088134765625,0.08935546875,0.099365234375,0.093505859375
16384,56206.796111558535,8,503,0,4,0.7952286282306162,-0.9721669980119284,124.75,0.093017578125,0.089599609375,0.090576171875,0.085693359375,0.082763671875,0.09521484375,0.0947265625,0.09033203125,0.099853515625,0.091064453125,0.087158203125
20480,177156.3806040526,10,100,0,4,4.0,-0.92,24.0,0.086669921875,0.083251953125,0.087646484375,0.09228515625,0.09326171875,0.09130859375,0.090576171875,0.08935546875,0.09716796875,0.094970703125,0.093505859375
24576,40827.84388521974,13,26,0,4,0.0,-0.6923076923076923,5.5,0.084228515625,0.0849609375,0.098876953125,0.08642578125,0.088623046875,0.095703125,0.08544921875,0.089111328125,0.086181640625,0.111328125,0.089111328125
28672,249399.94317014242,14,55,0,4,7.2727272727272725,-0.8545454545454545,12.75,0.0888671875,0.08447265625,0.08837890625,0.0771484375,0.095703125,0.09765625,0.08984375,0.0908203125,0.095458984375,0.1103515625,0.081298828125
32768,57254.445113561,17,36,0,4,11.11111111111111,-0.7777777777777777,8.0,0.097900390625,0.08984375,0.0908203125,0.0791015625,0.084228515625,0.101806640625,0.08642578125,0.09814453125,0.088134765625,0.09716796875,0.08642578125
36864,195099.9459651494,19,61,0,4,6.557377049180328,-0.8688524590163934,14.25,0.08837890625,0.08154296875,0.094970703125,0.07763671875,0.0791015625,0.106201171875,0.08740234375,0.0966796875,0.084228515625,0.11181640625,0.092041015625
40960,26478.79410798764,21,218,0,4,1.834862385321101,-0.963302752293578,53.5,0.09521484375,0.087646484375,0.091064453125,0.076416015625,0.087158203125,0.114013671875,0.08154296875,0.09619140625,0.083251953125,0.1025390625,0.0849609375
45056,119630.23563080649,23,627,0,4,0.6379585326953748,-0.9872408293460926,155.75,0.0859375,0.0859375,0.087890625,0.079345703125,0.09033203125,0.106689453125,0.08935546875,0.1005859375,0.081787109375,0.1025390625,0.089599609375
49152,43904.90614579923,24,983,0,4,0.40691759918616477,-0.9918616480162767,244.75,0.088623046875,0.079833984375,0.098388671875,0.074951171875,0.081298828125,0.102783203125,0.091552734375,0.09375,0.07958984375,0.109375,0.099853515625
53248,93109.85702399495,26,120,0,4,3.3333333333333335,-0.9333333333333332,29.0,0.090087890625,0.08740234375,0.0947265625,0.07568359375,0.083984375,0.10693359375,0.09033203125,0.09814453125,0.080322265625,0.096923828125,0.095458984375
57344,373188.2833180711,27,145,0,4,2.7586206896551726,-0.9448275862068966,35.25,0.093017578125,0.082763671875,0.0908203125,0.075439453125,0.08154296875,0.1015625,0.08984375,0.109130859375,0.087158203125,0.09033203125,0.098388671875
61440,219385.92584532895,28,45,0,4,8.88888888888889,-0.8222222222222223,10.25,0.098876953125,0.0771484375,0.095703125,0.076904296875,0.09033203125,0.09619140625,0.0927734375,0.1044921875,0.079833984375,0.0888671875,0.098876953125
65536,179104.60344986693,29,150,0,4,2.666666666666667,-0.9466666666666668,36.5,0.095458984375,0.081298828125,0.095703125,0.077880859375,0.092041015625,0.099365234375,0.082763671875,0.108154296875,0.078125,0.097412109375,0.091796875
69632,72895.706725628,31,78,0,4,5.128205128205128,-0.8974358974358975,18.5,0.095458984375,0.074462890625,0.095703125,0.078857421875,0.094482421875,0.100341796875,0.07763671875,0.109375,0.084228515625,0.099609375,0.08984375
73728,141045.23158887518,33,78,0,4,5.128205128205128,-0.8974358974358975,18.5,0.093017578125,0.0791015625,0.09716796875,0.0654296875,0.08740234375,0.102294921875,0.085693359375,0.11328125,0.07470703125,0.11083984375,0.091064453125
77824,19672.304941926668,35,287,0,4,0.0,-0.9721254355400697,70.75,0.093994140625,0.075927734375,0.104248046875,0.070556640625,0.086181640625,0.09033203125,0.09375,0.107666015625,0.076416015625,0.1064453125,0.094482421875
81920,400557.8951583571,35,136,0,4,2.941176470588235,-0.9411764705882354,33.0,0.101318359375,0.078125,0.099853515625,0.07861328125,0.081298828125,0.09326171875,0.093017578125,0.105712890625,0.071044921875,0.11572265625,0.08203125
86016,47825.59349631892,37,169,0,4,2.366863905325444,-0.9526627218934911,41.25,0.09130859375,0.077392578125,0.102294921875,0.069580078125,0.0830078125,0.098388671875,0.078125,0.11767578125,0.06884765625,0.115478515625,0.097900390625
90112,330769.3465429831,38,46,0,4,8.695652173913043,-0.826086956521739,10.5,0.094482421875,0.082763671875,0.098388671875,0.06591796875,0.093505859375,0.09814453125,0.0830078125,0.11669921875,0.070068359375,0.114013671875,0.0830078125
94208,184143.27706671,40,109,0,4,3.669724770642202,-0.926605504587156,26.25,0.08837890625,0.081787109375,0.107177734375,0.0712890625,0.083984375,0.10009765625,0.0888671875,0.112548828125,0.074462890625,0.10888671875,0.08251953125
98304,325863.99114976136,41,36,0,4,11.11111111111111,-0.7777777777777777,8.0,0.09375,0.08447265625,0.10107421875,0.067138671875,0.081298828125,0.09716796875,0.08544921875,0.119873046875,0.078369140625,0.104736328125,0.086669921875
102400,52299.327427539225,44,141,0,4,2.8368794326241136,-0.9432624113475176,34.25,0.087646484375,0.087646484375,0.092041015625,0.069580078125,0.078857421875,0.09423828125,0.0859375,0.133056640625,0.076416015625,0.10595703125,0.088623046875
