Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
4096,73539.61394530926,3,230,0,4,1.7391304347826086,-0.8130434782608696,56.5,0.084228515625,0.097900390625,0.091064453125,0.09228515625,0.086669921875,0.09228515625,0.09765625,0.083740234375,0.099365234375,0.0869140625,0.087890625
8192,40461.674244691865,6,293,0,4,1.3651877133105803,-0.89419795221843,72.25,0.08935546875,0.09033203125,0.089599609375,0.078857421875,0.088134765625,0.098876953125,0.09423828125,0.094970703125,0.09130859375,0.093505859375,0.0908203125
12288,166645.5920105158,7,147,0,4,2.7210884353741496,-0.8163265306122449,35.75,0.08935546875,0.089111328125,0.082763671875,0.0849609375,0.09375,0.09619140625,0.083251953125,0.08642578125,0.094970703125,0.107421875,0.091796875
16384,35426.856559179985,10,145,0,4,2.7586206896551726,-0.8137931034482758,35.25,0.089111328125,0.083740234375,0.09033203125,0.088134765625,0.09814453125,0.099609375,0.0859375,0.09619140625,0.08349609375,0.094482421875,0.0908203125
20480,151942.85915101634,12,149,0,4,2.684563758389262,-0.8187919463087249,36.25,0.08544921875,0.082275390625,0.087646484375,0.077880859375,0.096923828125,0.0947265625,0.091064453125,0.099609375,0.0908203125,0.101318359375,0.09228515625
24576,82570.92357696661,14,215,0,4,1.8604651162790697,-0.8790697674418605,52.75,0.07861328125,0.088134765625,0.09130859375,0.083740234375,0.09521484375,0.08837890625,0.086181640625,0.096923828125,0.08935546875,0.099365234375,0.102783203125
28672,55653.550028763675,16,78,0,4,5.128205128205128,-0.6666666666666667,18.5,0.083984375,0.076171875,0.091552734375,0.080322265625,0.1005859375,0.099609375,0.087158203125,0.0888671875,0.099853515625,0.098876953125,0.093017578125
32768,167938.81454646637,18,100,0,4,4.0,-0.74,24.0,0.0849609375,0.075439453125,0.091796875,0.08349609375,0.095703125,0.089599609375,0.085205078125,0.09375,0.0908203125,0.103515625,0.105712890625
36864,105579.98547534934,19,49,0,4,8.16326530612245,-0.6122448979591836,11.25,0.085693359375,0.083740234375,0.088623046875,0.07861328125,0.09716796875,0.08935546875,0.078857421875,0.0986328125,0.103271484375,0.090087890625,0.10595703125
40960,30390.516624914595,22,6,0,4,0.0,2.1666666666666665,0.5,0.0810546875,0.077880859375,0.09765625,0.0859375,0.099365234375,0.087158203125,0.091064453125,0.094970703125,0.097412109375,0.09375,0.09375
45056,71211.87129093472,23,332,0,4,1.2048192771084338,-0.9819277108433736,82.0,0.083984375,0.082763671875,0.103271484375,0.07275390625,0.090087890625,0.090576171875,0.09423828125,0.101806640625,0.098388671875,0.0869140625,0.09521484375
49152,15756.536893646089,26,262,0,4,0.0,-0.9770992366412213,64.5,0.083984375,0.08203125,0.089111328125,0.07666015625,0.0859375,0.096435546875,0.092041015625,0.10009765625,0.10400390625,0.088623046875,0.10107421875
53248,244682.67682453382,27,71,0,4,5.633802816901409,-0.9154929577464789,16.75,0.076416015625,0.08056640625,0.091796875,0.07763671875,0.084228515625,0.090087890625,0.092041015625,0.108154296875,0.103271484375,0.085693359375,0.110107421875
57344,119985.71573248692,29,120,0,4,3.3333333333333335,-0.95,29.0,0.082275390625,0.076416015625,0.09765625,0.071533203125,0.087890625,0.09033203125,0.089599609375,0.10009765625,0.10400390625,0.080322265625,0.119873046875
61440,18642.143019813255,32,101,0,4,0.0,-0.9405940594059405,24.25,0.083740234375,0.07763671875,0.094970703125,0.0673828125,0.0859375,0.093017578125,0.0966796875,0.09326171875,0.1005859375,0.102294921875,0.1044921875
65536,256092.4241626466,33,69,0,4,5.797101449275362,-0.9130434782608696,16.25,0.08642578125,0.064208984375,0.10400390625,0.0703125,0.078125,0.1005859375,0.09912109375,0.099365234375,0.098388671875,0.08154296875,0.117919921875
69632,64217.78074470508,35,23,0,4,0.0,-0.7391304347826086,4.75,0.08154296875,0.077880859375,0.10009765625,0.06884765625,0.077392578125,0.1044921875,0.08984375,0.10107421875,0.110107421875,0.0830078125,0.105712890625
73728,158922.52342244348,36,28,0,4,14.285714285714285,-0.7857142857142857,6.0,0.075439453125,0.074462890625,0.094482421875,0.070068359375,0.07568359375,0.10302734375,0.09130859375,0.0927734375,0.10693359375,0.09130859375,0.12451171875
