Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
4096,27596.044295149175,2,40,0,4,0.0,2.9000000000000004,9.0,0.09423828125,0.0966796875,0.0830078125,0.08837890625,0.097900390625,0.098388671875,0.094482421875,0.087890625,0.090087890625,0.087890625,0.0810546875
8192,71680.37096254846,5,318,0,4,1.257861635220126,-0.8742138364779874,78.5,0.094482421875,0.086181640625,0.1005859375,0.0859375,0.09228515625,0.08984375,0.088134765625,0.089111328125,0.090576171875,0.093505859375,0.08935546875
12288,240225.53228846935,6,90,0,4,4.444444444444445,-0.5555555555555556,21.5,0.090576171875,0.088623046875,0.0849609375,0.103759765625,0.0927734375,0.089111328125,0.091796875,0.084716796875,0.096435546875,0.085693359375,0.091552734375
16384,76437.28594584847,9,107,0,4,3.7383177570093453,-0.6261682242990655,25.75,0.0927734375,0.0888671875,0.09228515625,0.0947265625,0.0869140625,0.0810546875,0.09130859375,0.086181640625,0.095703125,0.099853515625,0.09033203125
20480,265099.3370817833,11,78,0,4,5.128205128205128,-0.5641025641025641,18.5,0.0927734375,0.088134765625,0.105712890625,0.08740234375,0.093994140625,0.09521484375,0.086181640625,0.082763671875,0.09228515625,0.092529296875,0.0830078125
24576,158064.18608553126,12,40,0,4,10.0,-0.475,9.0,0.082763671875,0.090087890625,0.0986328125,0.086669921875,0.09326171875,0.083740234375,0.092041015625,0.09130859375,0.091064453125,0.091552734375,0.098876953125
28672,18089.93154321339,15,256,0,4,1.5625,-0.91796875,63.0,0.0947265625,0.08935546875,0.09716796875,0.086181640625,0.09765625,0.085205078125,0.0751953125,0.09912109375,0.094482421875,0.090576171875,0.09033203125
32768,1025.7724891824187,19,95,0,4,0.0,-0.8210526315789474,22.75,0.08154296875,0.088623046875,0.1015625,0.092529296875,0.09326171875,0.083984375,0.079345703125,0.1123046875,0.087158203125,0.0927734375,0.0869140625
36864,188051.915289436,20,43,0,4,9.30232558139535,-0.6046511627906976,9.75,0.0830078125,0.08984375,0.1015625,0.076904296875,0.0927734375,0.0830078125,0.09033203125,0.105712890625,0.0888671875,0.093994140625,0.093994140625
40960,102597.29943524544,23,183,0,4,2.185792349726776,-0.907103825136612,44.75,0.075927734375,0.091796875,0.095458984375,0.080078125,0.09130859375,0.0927734375,0.088623046875,0.100341796875,0.093505859375,0.093994140625,0.09619140625
45056,71024.4901372079,25,469,0,4,0.8528784648187633,-0.9637526652452026,116.25,0.082763671875,0.08154296875,0.103515625,0.087890625,0.092041015625,0.08154296875,0.100341796875,0.09912109375,0.083740234375,0.09521484375,0.09228515625
49152,195849.8555558723,26,173,0,4,2.312138728323699,-0.9017341040462428,42.25,0.07958984375,0.098388671875,0.096923828125,0.075439453125,0.0908203125,0.08642578125,0.087158203125,0.10546875,0.09130859375,0.0908203125,0.09765625
53248,575849.9925666053,26,38,0,4,10.526315789473683,-0.5526315789473685,8.5,0.083251953125,0.08349609375,0.095703125,0.06787109375,0.098876953125,0.08544921875,0.087158203125,0.11328125,0.087646484375,0.095458984375,0.101806640625
