Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy,Efficiency,Improvement,Gap,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
8192,759937.2164966931,1,inf,0,0,inf,0.0,0.0,0.0946044921875,0.0908203125,0.0870361328125,0.0875244140625,0.089111328125,0.0927734375,0.0875244140625,0.099365234375,0.091064453125,0.091552734375,0.088623046875
16384,0.0,2,inf,0,0,inf,0.0,0.0,0.0887451171875,0.0889892578125,0.0965576171875,0.0933837890625,0.0894775390625,0.0938720703125,0.0953369140625,0.0927734375,0.0867919921875,0.09130859375,0.082763671875
24576,759898.8251555606,2,inf,0,0,inf,0.0,0.0,0.0792236328125,0.0958251953125,0.1033935546875,0.0943603515625,0.0888671875,0.0908203125,0.0908203125,0.096435546875,0.0858154296875,0.093994140625,0.0804443359375
32768,0.0,3,inf,0,0,inf,0.0,0.0,0.0731201171875,0.0953369140625,0.0953369140625,0.099365234375,0.096923828125,0.0933837890625,0.0936279296875,0.0799560546875,0.0947265625,0.0885009765625,0.0897216796875
40960,759950.8523028406,3,inf,0,0,inf,0.0,0.0,0.074462890625,0.1033935546875,0.089599609375,0.0946044921875,0.0975341796875,0.095947265625,0.0867919921875,0.09326171875,0.0867919921875,0.0936279296875,0.083984375
49152,0.0,4,inf,0,0,inf,0.0,0.0,0.0771484375,0.0989990234375,0.0958251953125,0.0992431640625,0.099853515625,0.090576171875,0.0848388671875,0.0865478515625,0.09130859375,0.0904541015625,0.085205078125
57344,759915.1480842567,4,inf,0,0,inf,0.0,0.0,0.08203125,0.099609375,0.092041015625,0.09423828125,0.0926513671875,0.0919189453125,0.0838623046875,0.091796875,0.09716796875,0.085205078125,0.0894775390625
65536,0.0,198,inf,0,6,inf,0.0,0.0,0.0810546875,0.0968017578125,0.08349609375,0.0992431640625,0.08984375,0.0931396484375,0.0858154296875,0.088623046875,0.0885009765625,0.0927734375,0.1007080078125
73728,759919.5625318344,198,207.0,0,6,207.0,1.6135265700483095,33.5,0.0712890625,0.091064453125,0.089111328125,0.0958251953125,0.09228515625,0.093505859375,0.0845947265625,0.093017578125,0.090576171875,0.095947265625,0.102783203125
81920,0.0,199,207.0,0,6,207.0,1.6135265700483095,33.5,0.0726318359375,0.09130859375,0.082275390625,0.0919189453125,0.0936279296875,0.095947265625,0.087890625,0.092041015625,0.09814453125,0.0943603515625,0.099853515625
90112,759924.326815672,199,168.0,0,6,168.0,0.23214285714285707,27.0,0.072021484375,0.0987548828125,0.08837890625,0.0926513671875,0.092529296875,0.0938720703125,0.081787109375,0.0867919921875,0.095458984375,0.0946044921875,0.1031494140625
98304,0.0,200,168.0,0,6,168.0,0.23214285714285707,27.0,0.0755615234375,0.093017578125,0.0872802734375,0.093017578125,0.1026611328125,0.0936279296875,0.086181640625,0.0814208984375,0.0948486328125,0.09716796875,0.09521484375
106496,759949.9973900391,200,2191.0,0,6,2191.0,-0.9233226837060703,364.1666666666667,0.0784912109375,0.09130859375,0.0836181640625,0.0908203125,0.0938720703125,0.0914306640625,0.0867919921875,0.08544921875,0.10546875,0.0933837890625,0.099365234375
114688,0.0,201,2191.0,0,6,2191.0,-0.9233226837060703,364.1666666666667,0.08056640625,0.0943603515625,0.0960693359375,0.09033203125,0.101806640625,0.0843505859375,0.0780029296875,0.0863037109375,0.096923828125,0.0931396484375,0.09814453125
122880,759922.5449679545,201,278.0,0,6,278.0,-0.39568345323741,45.333333333333336,0.0806884765625,0.091796875,0.0953369140625,0.083251953125,0.103759765625,0.087158203125,0.0806884765625,0.088134765625,0.0970458984375,0.0938720703125,0.0982666015625
